Sub_Before,Tense,Complement,Reading,left,buinn,right,source,year
No,,NULL,vel búið,þér fáið mér fimm skip með vápnum ok mönnum til bardaga vel,búna,". Vil ek ór landi fara at afla mér fjár ok frægðar, ok vil ek þetta sé allt b",(hjalm_ol),
No,,NULL,Fixed,á. Jarl var sjálfr í ferðinni með þeim. Konungr hafði veizlu,búna,". Hann tók við jarli ok syni sínum með allri vegsemd, en á þriðja degi veizlu",(hjalm_ol),
No,,NULL,vel búið,"a byrjast af einum ágætum konungi, er Ingi hét. Hann var vel",búinn,"maðr at öllum íþróttum, meiri ok mektugri, vænni ok vitrari, stærri ok ster",(hjalm_ol),
No,PRS,NULL,,svarar hugur vor. En ef einum verður svo gjörla gefið og er,búið,"of annarra hlut allra, svo þó að þeir eru rændir öllu því góðu, er þeir höfð",(homil),1150
No,PRS,NULL,,"í að hann tekur bæði við stoðlausum og góðum ekkjum, þeim er",búnar,eru til bænahalds eða lítillætis eða ölmusugæðis. Sá er eigi hefir fémuni a,(homil),1150
No,,NULL,svo búið,tt með iðrun og föstum og bænum og ölmusugjörðum og fari svo,búinn,á Guðs hátíð til Guðs musteris að biðja fyr sér. Og munu þá verða þægilegar,(homil),1150
No,NF,NULL,,"nt, að dauðinn komi að hendi, þá skyldim vér ávallt vera við",búnir,", að eigi komi hann, þá er síst varir, ef hans er gleymt. En sá er hlutur væ",(homil),1150
No,,NULL,Fixed,"dómadags. Hitt skiptir hvern miklu meira, að þá væri vel við",búinn,", er hann kemur. En svo er sem hverjum komi dómadagur, þegar er hann andast,",(homil),1150
No,PRS,NULL,,"eg til, griðungar mínir og alifuglar höggnir og allir hlutir",búnir,". Komið ér til boðsins."" Hvað skal þar merkja í griðungum og alifuglum? Hvað",(homil),1150
No,PRS,NULL,,"s: ""Griðungar mínir og alifuglar eru höggnir og allir hlutir",búnir,". Komið ér til boðsins."" Sem þetta er mælt: ""Fyrirfarandi feðra dæmi og dauð",(homil),1150
No,PRS-SBJ,NULL,,"um þykir engi hæfur ella í kristinna manna liði, nema svo sé",búinn,". Sem segir í þeim orðum, er eftir fara, að þá er konungurinn sá þann, er ei",(homil),1150
No,,NULL,Fixed,"að þeir munu á <S 4>ór orð heyra flestir, er bæði munu betur",búnir,að viti og að máli en vér séim. Nú ef ér vilið þó að hvoru taka við kenning,(homil),1150
No,PRS,NULL,,"gir í guðspjallinu, að þá mælti konungurinn við þræla sína: """,Búinn,"fögnuðurinn, en þeir voru óverðir að njóta, er boðið var."" Og báru þeir vit",(homil),1150
No,,NULL,Fixed,þrífast megu bæði þessa heims og annars. Sjá þrifsemi segist,búin,"fyrir augliti allra lýða, því að allir tóku hjálp af honum, þeir er hugskots",(homil),1150
No,,NULL,Attr,"í hverjum sem einum gjöf sinnar miskunnar, sem hann sér hann",búinn,vera góðra verka skrúði. En ef hann sér manninn klæddan gæskuljósinu og skr,(homil),1150
No,,NULL,Fixed,"ð innan í öndinni, þar er vér skyldim góðra verka gimsteinum",búnir,"vera, að þar sýnimst vér vafðir í fornum tötrum. Þá er hreinlífið sýnir þá",(homil),1150
No,,NULL,Fixed,"ella. Það er oss mest nauðsyn, að vér leitim við, að vér sém",búnir,"við andláti óru ávallt hverja stund frá annarri, af því að vér vitum eigi,",(homil),1150
No,,NULL,vel búið,"nn, at þeir Ketill ok Ingjaldr koma með fjóra tigu skipa vel",búin,at mönnum ok vápnum til Svíþjóðar. Hrólfr konungr hafði búa látit þrjá tigu,(hr_gaut),
No,,NULL,vel búið,"ru búnir, halda þeir til Danmerkr. Þeir höfðu tvau skip, vel",búin,at mönnum ok vápnum. Ketill kom til móts við þá ok hafði eitt skip ok vel sk,(hr_gaut),
No,,NULL,vel búið,", býst Hrólfr konungr ór landi ok hafði sjau skip ok öll vel",búin,"ok it ágætasta lið. Þá gerir Hrólfr konungr bert fyrir liði sínu, at hann æt",(hr_gaut),
No,PST,NULL,,"rðar ok Ásmundr, fóstbróðir hans, með honum. Ok er þeir váru",búnir,", halda þeir til Danmerkr. Þeir höfðu tvau skip, vel búin at mönnum ok vápnu",(hr_gaut),
No,,NULL,Fixed,""" Konungr bað þá vera sem ákafasta, meðan þeir væri sízt við",búnir,", ok vita, at sem skjótast skipti um með þeim, bað þá ekki æpa ok fara sem h",(hr_gaut),
No,FUT,NULL,,ok var heldr veðrlítit í fyrstu. Hrólfr konungr varð síðast,búinn,". Gekk drekinn lítit, því at hann þurfti mikinn byr, sigldu svá sem leið lig",(hr_gaut),
No,,NULL,svo búið,"ðr mælti: ""Ekki má svá vera. Verðið þér nú þegar at fara svá",búnir,". Óttumst ek ok, at berserkrinn sé kominn. Mun hann hyggja mik svá ragan, at",(hr_gaut),
No,,NULL,Fixed,"fádæmi, þess er hann var stórskorinn í andliti. Vel var hann",búinn,"at klæðum. Hann hafði einn grábjörn á baki sér ok einn boga í hendi, harðla",(hr_gaut),
No,,NULL,Fixed,"Sá þeir, at þar skorti eigi alls kyns varning. Sæng var þar",búin,harðla vel. Hún var stórliga mikil. Konungr lagðist niðr í sængina. Sá hann,(hr_gaut),
No,,NULL,Fixed,"r með brugðnum sverðum, -- ""en annat lið várt standi úti með",búna,"hesta vára."" Ok enn mælti Hrólfr konungr við menn sína, þá er inn skyldu gan",(hr_gaut),
No,,NULL,Fixed,", at þeir fyndi þar nokkurn mann, en matr ok drykkr stóð þar",búinn,"í hverju herbergi, klæði ok dýrgripir váru þar allir til reiðu. Ketill mælt",(hr_gaut),
No,,NULL,Fixed,utning Ásmundar var þetta mál auðsótt við konunginn. Var þar,búin,"in ágætasta veizla, drekka þeir brúðkaup sín, Ingjaldr til Margrétar, dóttur",(hr_gaut),
No,,NULL,Fixed,"g, sem þeir höfðu á kveðit. Skildu konungar með blíðu. Ok at",búnu,"liði sínu siglir hann af Englandi, gefr þeim vel byr ok koma við Írland. Þat",(hr_gaut),
No,PST,NULL,,t þrjá tigu skipa ok dreka sinn um fram. Váru þessi öll skip,búin,"með miklum herskap ok vel búnu liði, biðu svá byrjar. Hrólfr konungr spurði",(hr_gaut),
No,,NULL,Fixed,"á sem drottning gaf ráð til. Síðan ferr hann, sem hann verðr",búinn,ok kemr við Gautland með heilum sínum varnaði. Ok er Gautrekr konungr frétt,(hr_gaut),
No,IMP,NULL,,"fr konungr mælti: ""Enga þökk hafi þér af oss fyrir þetta, ok",búið,"yðr skjótt, því at vér viljum á þat hætta, hvárir eiga öðrum kosti at bjóða,",(hr_gaut),
No,PRS,NULL,,"nú vetrinn, ok um várit býst konungr ór landi, ok er hann er",búinn,", heldr hann í hernað um sumarit ok hafði fimm skip ok öll stór ok vel skipu",(hr_gaut),
No,,NULL,vel búið,"r Gautrekr konungr heiman ferð sína með átta tigu manna, vel",búna,at vápnum ok klæðum ok inu fríðasta liði. Vildi hann þessa ferð mjök vanda e,(hr_gaut),
No,PST,NULL,,"kom á, tóku þeir þegar ok settu upp segl sín, svá hverr sem",búinn,"var, ok var heldr veðrlítit í fyrstu. Hrólfr konungr varð síðast búinn. Gek",(hr_gaut),
Yes,PST,NULL,,"ekk boð Ellu konungs Nú er frá því at segja, þegar þeir váru",búnir,", heldu þeir á brott af Svíþjóð ok vestr í haf. Gaf þeim heldr lítt, fengu v",(hr_gaut),
No,,NULL,vel búið,um fram. Váru þessi öll skip búin með miklum herskap ok vel,búnu,"liði, biðu svá byrjar. Hrólfr konungr spurði drottningu, hversu henni segði",(hr_gaut),
No,,NULL,svo búið,"grímur mælti: ""Eigi ert þú ráðlaus."" Reið hann brott við svo",búið,. Á næsta sumri gerði Þorgrímur Hrafn sekan skógarmann á alþingi. Kaupskip va,(hrafn_g),
No,PST,NULL,,ir kaupmenn til bæjarins vestan um haf og voru þá mjög brott,búnir,. Einn dag kom Ketill til þeirra og kvaðst hafa þræl einn að selja þeim. Þei,(hrafn_g),
No,PST,NULL,,rði Þorgrímur Hrafn sekan skógarmann á alþingi. Kaupskip var,búið,"í Hrútafirði til hafs, er þetta gerðist, er áttu norrænir menn. Hét annar Ei",(hrafn_g),
No,PRS,NULL,,"sá seyðir rjúki er þeir hafa hreyft."" Hrafn mælti: ""Hvar er",búið,"um föður minn?"" Hún kvað þar nú vallgróið yfir. Hrafn mælti: ""Koma skal eg þ",(hrafn_g),
Yes,PST,NULL,,"Danmerkur."" Bjó þá hver sitt skip og sigldu þegar þeir voru",búnir,. En er þeir komu til Danmerkur gekk allt fólk á land af skipum. Var þar fyr,(hrafn_g),
No,,NULL,svo búið,"nkeli mun gott til manna verða."" Snýr Sámur þá aftur við svo",búið,", kemur þar til, er Eyvindur lá, tekur til og verpur haug eftir hann og félag",(hrafnkatla),
No,,NULL,vel búið,ndi eftir mönnum. Urðu þeir saman tuttugu. Var þetta lið vel,búið,". Ríður Sámur austur á heiðina og að þar, er vettfangið hafði verið. Þá er um",(hrafnkatla),
No,,NULL,svo búið,hans og hjó hann banahögg. Eftir það ríður hann heim við svo,búið,á Aðalból og segir þessi tíðindi. Síðan lét hann fara annan mann til smala í,(hrafnkatla),
No,Samsett,NULL,,"kki þreklegur, er fyrstur gekk, í laufgrænum kyrtli og hafði",búið,"sverð í hendi, réttleitur maður og rauðlitaður og vel í yfirbragði, ljósjarp",(hrafnkatla),
No,,NULL,Fixed,er heim og lætur reka hesta á móti Eyvindi. Og er hann hefur,búið,"svo um varnað sinn, býr hann ferð sína til Hrafnkelsdals, fer upp eftir Reyð",(hrafnkatla),
No,,NULL,vel búið,tigu manna. Sámur hafði og fjóra tigu manna. Var það lið vel,búið,"að vopnum og hestum. Eftir það ríða þeir alla hina sömu leið, þar til er þei",(hrafnkatla),
No,,NULL,Fixed,ömmu eftir þat Rauðr hafði lokit kaupsýslan sinni ok var til,búinn,", var þat, at þeim gaf burt byr, ok létu þeir í haf. En þat varði eigi lengi",(hrana),
No,PRS,NULL,,"síðir losat sik, stendr nú á fætr ok sér, at hin skessan er",búin,at koma hinum báðum undir sik. Grípr hann nú undir kjálka hennar ok setr hné,(hrana),
No,,NULL,svo búið,kapp föður míns ef þér dugir að sitja samtýnis við hann svo,búið,"."" Síðan bjóst Þórður heiman. Hann tók vopn sín, skjöld og hjálm, sverð og sp",(hredu),
No,PST,NULL,svo búið,ð aldri. Helga kona hans var kviðug að barni. Þórður var svo,búinn,"er hann á hólminn gekk, hann hafði hjálm á höfði en sverð í hendi, refil ha",(hredu),
Yes,PST,NULL,,kála hans. Þórður hét ferðinni og reið heiman þegar hann var,búinn,", við annan mann, upp eftir Skagafirði og norður Öxnadalsheiði. Í þann tíma",(hredu),
Yes,PST,NULL,,tveir íslenskir menn. Indriði reið frá skipi þá er hann var,búinn,. Nú er þar til að taka er þeir Þórður og Skeggi skildu að Ósi að Eiður tala,(hredu),
Yes,PST,NULL,,n. Og með þessu skildu þeir. Reið Skeggi heim þá er hann var,búinn,. Þórður reið jafnfram norður og Eiður með honum og töluðust þeir Skeggi og,(hredu),
Yes,PST,NULL,,af komum nokkurar nætur. Þórður bjó ferjuna. Og er hann var,búinn,var það einn morgun að veður var gott. Þá ætlaði Þórður að sigla út úr ánni,(hredu),
No,,NULL,Fixed,"nni stærri og sterkari, vænni og víglegri og vel að íþróttum",búinn,. Nú býr Þórður ferð sína úr Hísing og vill hitta Bárek föðurbana sinn. Þeir,(hredu),
No,,NULL,Fixed,á eg muni bera af einum einhleypingi þótt hann sé vel að sér,búinn,"."" ""Nú muntu ráða,"" segir Eiður, ""en eigi kemur mér á óvart þó að þú iðrist",(hredu),
No,,NULL,Fixed,við Þórhall er hann hafði sagt til Þórðar og var við sjálft,búið,að hún mundi skilja við hann fyrir þessum sökum. Þórður átti jafnan hlut að,(hredu),
No,,NULL,Fixed,Eyjólfi og Steingrími gaf hann jörðina að Ósi í Miðfirði og,búið,með. Síðan fékk hann þeim sæmileg kvonföng sem þeim sómdi því að þeir voru h,(hredu),
No,Samsett,NULL,,sér um þetta. Líður nú þar til er Ormur kemur heim og hafði,búið,skip sitt. Ormur spurði Skeggja um erindislok um kvonbænirnar. Skeggi sagði,(hredu),
No,Samsett,NULL,,enuhólm. Og í þann tíma kom Indriði til skips. Höfðu hásetar,búið,skipið meðan Indriði var í Engihlíð. Indriði bauð Þórði að fara utan með sér,(hredu),
No,,NULL,svo búið,afa farið að getu sinni og unir nú illa við og verður þó svo,búið,"að vera. Þórhallur Eiðsson átti tvo sonu, Skeggja og Eið. Skeggi átti Guðrún",(hredu),
No,,NULL,Fixed,nur að konungur hefði beiðst fundar hans. Hann var á þá leið,búinn,að hann var í hökulbrókum og hafði feld grán yfir sér. Og er hann kemur fyr,(hreidar),
No,,NULL,Fixed,gi fyrir vits sökum. Hann var manna frávastur og vel að afli,búinn,og hógvær í skapi og var hann heima jafnan. En Þórður var í förum og var hi,(hreidar),
No,PRS,NULL,,Þórð um ef hann flytur utan afglapa. 2. kafli Og er þeir eru,búnir,"sigla þeir í haf og verða vel reiðfara, koma við Björgyn og þegar spyr Þórð",(hreidar),
No,PRS,NULL,,"ráð hafa, sem þú leggr til."" Fara nú leið sína, þá þeir eru",búnir,", ok biðja bónda vel lifa, en konungr sendir aptr helming liðs síns. Ríða nú",(hrolf),
No,,NULL,svo búið,"r. Hafi þér þá heldr örendi átt í eyna, heldr en at fara svá",búnir,"."" Konungr sagði: ""Eigi kann ek at láta drepa þik, en þó ætla ek, at þat sé",(hrolf),
No,,NULL,svo búið,"hvat sem þér þykkir, því at vér megum ekki at hafast at svá",búnu,"at hjálpa þeim."" Fróði konungr herðir nú at seiðkonu fast ok biðr hana segja",(hrolf),
No,,NULL,svo búið,"ekkert högg hefir komit á mik lengi, en ekki var hún enn svá",búin,"sem ek ætlaða hún skyldi verða."" Böðvarr mælti: ""Ekki muntu fá skjaldborgina",(hrolf),
No,,NULL,Fixed,"at sjá prýði Hrólfs konungs ok kappa hans, því at þeir váru",búnir,"skartsamliga, ok þykkir mörgum mikils um vert um svá kurteisa riddara. Þeir",(hrolf),
No,IMP,NULL,,"at heimta, ok hafi þér hér mikinn frama unnit ok þínir menn.",Búið,"yðr nú sem best, svá at eigi megi á yðr ganga, því at þér munuð enn reyndir",(hrolf),
No,,NULL,vel búið,"sér mikit gull né silfr né aðra fjrárhluti, nema hann er vel",búinn,at vápnum ok klæðum. Hann ríðr nú sínum góða hesti fyrst til hellisins epti,(hrolf),
Yes,PST,NULL,,"ppi. Hann var þá eigi frýnligr, blés þá at eldi, er hann var",búinn,"at eta ór katlinum. Funi mikill var í milli fóta honum, en ketillinn fullr",(hrom),
No,,NULL,svo búið,. Öngir urðu áverkar með mönnum á þeim fundi. Skilja við svo,búið,. 4. kafli Hrómundur og hans menn riðu nú heim. Og er þeir höfðu litla hríð h,(hromund),
No,,NULL,Fixed,"ðr nam sekkva] geystusk hlýr, en hristi bára, hrími stokkin,",búnar,"grímur. 5. Rauðar báruð randir síðan, rimmu Yggr, of snskar byggðir; eigi",(hrynhenda),
No,PST,NULL,,"rnaði ok sjóhrakningi Nú kemr sá tími, er skip Sigurðar váru",búin,", halda þeir frá landi. Var þat þá ráðit, at Björn ok Illugi skyldi báðir far",(illuga),
No,,NULL,Fixed,gurðr hét. Hann var allra manna fríðastr ok at íþróttum bezt,búinn,". Hann var blíðr við vini sína, örr af fé, en grimmr sínum óvinum. Sviði hef",(illuga),
No,,NULL,svo búið,þeir eftir það og komu heim um kveldið og segja konungi svo,búið,", hvað er þá hefir í görzt. Konungur segir: ""Þá hafi þér vel gert,"" segir han",(jomsvik),1260
No,,NULL,svo búið,kvað skjótt úrráð. Og nú þykir konunginum eigi vera mega svo,búið,", og þykist þá lengur hafa setið Sveini þann hlut er hann mundi eigi öðrum þo",(jomsvik),1260
No,,NULL,svo búið,iklu meiri fjölskyldi umb að vera en eg mega frá fara að svo,búnu,"þessi misseri."" Hann telst nú undan um förina á alla vega, og fara þeir við",(jomsvik),1260
No,,NULL,svo búið,"n verri viðureignar, og það kann eg sjá, að oss mun eigi svo",búið,"hlýða ef eigi er ráðs leitað. Og skuluð ér nú vera eftir með herinum, þvíað",(jomsvik),1260
No,,NULL,svo búið,". En Fjölnir lætur sér það illa líka, og fer hann nú við svo",búið,"í braut með þenna fjárhlut og fer á fund Haralds konungs, og gerist hann nú",(jomsvik),1260
No,,NULL,svo búið,"örina, þaðan sem hún hafði staðar numið, og hirðir hana svo",búna,"sem þá var hún. En örin var auðkennd, þvíað hún var gulli reyrð. Síðan mælti",(jomsvik),1260
No,PST,NULL,,"n virðilegan vagn, og sögðu menn henni, að dýrleg veizla var",búin,í móti henni að konungs. Þeir óku með hana um daginn. Og um kveldið er myrkt,(jomsvik),1260
Yes,PRS,NULL,,í víking og hernað. Hann fer úr landi þegar er ferð hans er,búin,", og herjar hann það sumar til Skotlands og Írlands og aflar sér mikils fjár",(jomsvik),1260
Yes,PST,NULL,,"konungs og þykir vera nauðsynjamál, og fer þegar er hann var",búinn,", og hefir hann nú hvergi minna lið en hið fyrra sinni og kemur við Danmörk",(jomsvik),1260
Yes,PST,NULL,,"ann atróður harðan, þá er þeir Gull-Haraldur voru sízt viður",búnir,", og býður liði Haralds þá kosti, hvort þeir vildi heldur berjast við hann e",(jomsvik),1260
Yes,PST,NULL,,a. Og síðan fóru þeir leiðar sinnar þá er þeir voru til þess,búnir,", og ferst þeim vel, og hitta þeir Harald konung gráfeld í Noregi og báru up",(jomsvik),1260
Yes,PRS,NULL,,æri lengra tóm til gefið. Jarl fer þegar úr landi er hann er,búinn,"og hafði hundrað skipa. En um sumarið síðar, þá komu menn úr Noregi þrír me",(jomsvik),1260
No,,NULL,svo búið,"i til matar sér. Konungur mælti: ""Þá muntu fara heim við svo",búið,","" segir konungurinn, ""og hefi eg nú sagt yður vilja minn. En nú mun eg þó sv",(jomsvik),1260
No,,NULL,svo búið,ér hafa gefin verið en þeim er nú á eg; en þó mun það nú svo,búið,"vera verða."" Búi þiggur mennina að henni og biður hana hafa þökk fyrir og ge",(jomsvik),1260
No,,NULL,svo búið,"nvirðingu af Pálnatóka en þeir bræður, og stendur þar nú svo",búið,"um hríð. 18. kafli - Frá Véseta Nú verður þar til máls að taka er Véseti er,",(jomsvik),1260
No,,NULL,svo búið,"ga, og fara þeir við það heim konungsmenn og segja honum svo",búið,". Og er þeir voru í braut farnir, þá hvarf af Pálnatóka þyngd öll. Og nú lætu",(jomsvik),1260
No,,NULL,svo búið,"förinni enn, og fara sendimenn nú heim og segja konungi svo",búið,. Og nú kemur þar misserum er jarl fer heiman með föruneyti sitt og fara nú e,(jomsvik),1260
No,,NULL,svo búið,"nn enn förinni, og fara sendimenn aftur og segja konungi svo",búið,". Enn býst jarl heiman; og þá er að því er komið, fer hann með föruneyti sitt",(jomsvik),1260
No,,NULL,svo búið,"endimenn Haralds konungs og Hákonar jarls, og segja þeim svo",búið,". Eftir það koma þeir nú allir á þing, og hefir það fjölmennst þing verið í D",(jomsvik),1260
No,,NULL,svo búið,um að tvö vandræði væri á: annað hvort að hverfa frá við svo,búið,", eða drepa reiðskjóta sína til matar, og sýndizt mönnum hvottveggi kosturinn",(jomsvik),1260
No,,NULL,svo búið,"eg attú látir þér það vel líka."" Nú fer Véseti heim við svo",búið,", en Sveinn konungur sendir þegar menn eftir Haraldi jarli og bað hann koma á",(jomsvik),1260
No,,NULL,svo búið,"íta, að mjög var jafnleiki í með þeim Eiríki og Vagni að svo",búnu,", og eru þeir í fylkingararminum syðra. Og nú leggur Eiríkur frá þaðan skip s",(jomsvik),1260
No,,NULL,svo búið,þykja nökkvers til seinir skattarnir. Skildu þeir nú við svo,búið,", og fer Hákon heim í land sitt og þykist nú unnið hafa mikinn sigur. Og eru",(jomsvik),1260
No,,NULL,svo búið,sir menn eru svo óvægnir og óðir að eigi mun lengi hlýða svo,búið,", og mun þurfa sem bráðast að leita ráða í. Áslákur er maður sköllóttur, að þ",(jomsvik),1260
No,,NULL,svo búið,"í gerzt til tíðenda, og segir hann þetta engum manni að svo",búnu,". Sveinn tekur til orða og mælti við fóstra sinn: ""Þess vil eg biðja, fóstri,",(jomsvik),1260
No,,NULL,svo búið,"mér liggur þyngd nokkur, og þykjumst eg eigi fær vera að svo",búnu,. Það fylgir og að eg á hér miklu meiri fjölskyldi umb að vera en eg mega frá,(jomsvik),1260
No,,NULL,vel búið,"a. Hann hafði á þeim skipum hundrað manna, og voru allir vel",búnir,að klæðum og vopnum. Ekki er getið að þar gerðist einkum til tíðenda um fer,(jomsvik),1260
No,,NULL,Fixed,"fa vopn á þá og felldu á þá tjöldin, er þeir voru ekki viður",búnir,", og lýkur þar svo með þeim, að Áki fellur og allt lið hans. Og eftir þetta",(jomsvik),1260
No,,NULL,Fixed,"kemur, er þér komið þar til þeirrar veizlu er vér höfum yður",búið,", og skaltu þar einn fyrir öllu ráða; en vér skulum allir, sem skylt er, til",(jomsvik),1260
No,PRS,NULL,,nú lið sitt Jómsvíkingar þaðan frá veizlunni. Og er þeir eru,búnir,", þá fara þeir úr landinu og hafa hundrað stórskipa. En þeir höfðu þangað ha",(jomsvik),1260
No,,NULL,Fixed,nú annar mestur maður í Danmörku og ríkastur og bezt að viti,búinn,", þegar er konunginn líður sjálfan. Það er nú frá sagt, að konungurinn fer y",(jomsvik),1260
No,,NULL,svo búið,"ndur þér, og muntu nú ráða verða að sinni."" Og nú verður svo",búið,"að vera sem Eiríkur vill. Og nú mælti Hákon jarl við Þorkel leiru: ""Högg enn",(jomsvik),1260
No,,NULL,Fixed,ldi fara til hins harðasta bardaga og vilja vera við öllu um,búnir,", þótt Úlfur taki auðvellega á. Og er þeir eru albúnir, þá veita þeir atróðu",(jomsvik),1260
No,,NULL,Fixed,"su ráðið hafa, Þyri,"" sagði hann, ""er höllin er á þessa leið",búin,"."" ""Fyrir því þyki þér það líklegra herra?"" segir hún. ""Því,"" sagði konungur,",(jomsvik),1260
No,PRS-SBJ,NULL,,"er mikils eru verðir og svo hina er minna háttar eru, og sé",búið,"hvert skip það þaðan, það er nokkur vöxtur er að. En Guðbrandur hvíti var þa",(jomsvik),1260
No,,NULL,Fixed,"kip senn, svo að þau voru öll læst innan borgar. Þar var umb",búið,"með mikilli vélfimni er í var lagt inn í höfnina, og þar var sem dyr væri ge",(jomsvik),1260
No,,NULL,Fixed,"ir þeir synir Véseta, Búi og Sigurður. Búi hinn digri var þá",búinn,"mjög ítarlega að klæðum, fyrir því að hann var þá í klæðum þeim er Haraldur",(jomsvik),1260
No,Samsett,NULL,,"ður, og er það ósýnna að svo beri til."" Nú svarar konungur: """,Búin,"skulu öll skipin, Sigvaldi, þá er þú ert búinn til fararinnar,"" segir konung",(jomsvik),1260
No,Samsett,NULL,,"ang: ""Ef þú vill berjast við oss,"" segir hann, ""þá skulu vér",búnir,"þess. En þó sæi eg hér betra ráð til."" ""Hvert er það?"" segir Þorkell. ""Óska",(jomsvik),1260
No,,NULL,svo búið,"mun þetta ráðast þessu sinni, og skaltu nú heim fara að svo",búnu,"með góðum gjöfum og virðilegum, og ef þér er mikið um ráðahag við mig, þá sk",(jomsvik),1260
No,,NULL,svo búið,"aldri síðan mér í augsýn."" Og nú fer Sveinn í braut við svo",búið,og á fund Pálnatóka fóstra síns og segir honum allt sem fór með þeim feðgum.,(jomsvik),1260
No,PST,NULL,,"tyrktist mjög hin sæla mær Katrín og beið óttalaus spekinga,",búin,að svara með staðfesti og skynsemi þeirra spurningum. Tók hún fyrst að dispú,(katrin),
No,,NULL,Fixed,"ta, tók þegar að hafa karlmannligan hug í kvensligu brjósti,",búin,alla hluti að þola fyrir guðs ást. Viðræða þeirra kóngs og Katrínar Um morgu,(katrin),
No,Samsett,NULL,,"um heilagra engla, því að sjá hérna, þeir eru komnir og bíða",búnir,"þinnar tilkomu."" Andlát sællar Katrínar meyjar Þá er hin sæla Katrín heyrði",(katrin),
No,PST,NULL,,"a hennar hinu verstu slægðir."" Og þá er þetta píslarfæri var",búið,"eftir boði hans, minntist drottinn fyrirheits síns og sendi engil sinn en fr",(katrin),
No,,NULL,svo búið,við Ála eða binda forlög sín við hann. Ketill sagði Ála svo,búið,", og hér fyrir skorar Áli Ketil á hólm, en Ketill kveðst fara mundu. Þeir bræ",(ketill_h),
No,,NULL,Fixed,"en Ketill hafði fjölmennt, og þóttist Sigríður þurfa fánga í",búið,". Ketill kveðst óvanur frýjunni og stökk á skip sitt. Víkingar spurðu, hvert",(ketill_h),
No,,NULL,vel búið,r. Hún var mikil á allan vöxt. Hún var fögur að áliti og vel,búin,", í rauðum kyrtli og allur hlöðum búinn, og digurt silfurbelti um sig. Hún ha",(kjalnes),1310
No,,NULL,svo búið,"hvor, Örn austmaður og Búi. En er Kolfinnur kom í stofu svo",búinn,sem fyrr var sagt þótti flestum mönnum hann vera heldur hæðilegur. Hann nam,(kjalnes),1310
No,PRS,NULL,,erk sitt svo illt að hann reið þegar í brott og til skips er,búið,var suður á Eyrarbakka og fór þar utan um sumarið en síðan höfum vér önga sö,(kjalnes),1310
Yes,PST,NULL,,"a hans um þrjá vetur. Búi fór með fjalli inn, þegar hann var",búinn,", sem leið liggur. Esja fóstra hans fór á leið með honum og þótti mikið fyri",(kjalnes),1310
Yes,PST,NULL,,m norður í Hrútafjörð. Tók hann sér þar fari og er þeir voru,búnir,sigldu þeir á haf. Þeir bræður Helgi og Vakur tóku sér fari um sumarið í Ko,(kjalnes),1310
No,,NULL,svo búið,"Það vil eg eigi,"" sagði hann, ""vil eg halda búnaði mínum svo",búið,". Mun eg og öngan mann með mér draga."" ""Þú munt ráða vilja,"" sagði hún. Eftir",(kjalnes),1310
No,,NULL,svo búið,"út og litast um, sér að ekki er framorðið. Kolfinnur var svo",búinn,að hann var í kollhettu og hafði kneppt blöðum milli fóta sér. Hann hafði h,(kjalnes),1310
No,,NULL,Fixed,gætan drykk. Allur borðbúnaður var þar af silfri og við gull,búinn,", diskar og ker og spænir. Fríður settist þá niður hjá Búa og snæddu og druk",(kjalnes),1310
No,,NULL,Fixed,"fögur að áliti og vel búin, í rauðum kyrtli og allur hlöðum",búinn,", og digurt silfurbelti um sig. Hún hafði slegið hár sem meyja siður er. Var",(kjalnes),1310
No,,NULL,Fixed,u þau í lítið herbergi. Það var allt tjaldað og ágæta vel um,búið,". Fríður mælti: ""Hér skaltu Búi setjast niður og hvíla þig og leggja af þér v",(kjalnes),1310
No,,NULL,Fixed,annað sinn. Voru þá allmiklar sviptingar. Var þá við sjálft,búið,að Jökull mundi falla. Og í því var sem kippt væri báðum fótum senn undan Bú,(kjalnes),1310
No,,NULL,Fixed,hún kölluð Ólöf hin væna. 3. kafli Þá er þau Andríður höfðu,búið,nokkura vetur í Brautarholti gátu þau son saman. Sá var vatni ausinn og kall,(kjalnes),1310
No,,NULL,vel búið,Hann hafði skegg mikið og hvítt af hæru. Þessi maður var vel,búinn,og allur sýndist Búa hann öldurmannlegur. Hvortveggi bekkur var skipaður af,(kjalnes),1310
Yes,PST,NULL,,Ögmundur og Helga áttu son er Fróði hét. Þá er skip var mjög,búið,tók Helga sótt og andaðist og Fróði son þeirra. Eftir það sigldu þeir í haf.,(kormaks),1212.5
Yes,PST,NULL,,s. Þeir bræður ætla og að fylgja skipi sínu. Þá er þeir voru,búnir,fer Kormákur að finna Steingerði og áður en þau skilja kyssir Kormákur Stei,(kormaks),1212.5
No,,NULL,svo búið,"vo þó?"" segir Kormákur. Dalla mælti: ""Þér mun eigi hlýða svo",búið,"þó, því að ófús mun Þorvarður að berjast nema fjölkynngi sé við. Þykir mér h",(kormaks),1212.5
No,,NULL,Fixed,tur höfðingi á nesi Reykja. Hans frá eg kona Katla héti; sú v,búið,", manna göfgastur, nýtur höfðingi á nesi Reykja. Hans frá eg kona Katla héti;",(kotludraumur),
