corpus,match_position,left context,match,right_context,text_wordcount,chapter_n,text_titill,text_paragraphcount,text_ritstjorar,text_utgefandi,text_sentencecount,text_rit,text_utgafuar,
Króka-Refs saga,11192,Nú,er að segja,frá ferð Refs að þeir léttu ekki fyrr sinni ferð en þeir komu til Danmerkur .,11084,18,Króka-Refs saga,257,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,856,Íslendingasögur II,1986,
Laxdæla saga,8377,Nú,er að segja,frá Ingjaldi að hann snýr heim á Goddastaði þá er þeir Þórólfur höfðu skilist .,57467,15,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Laxdæla saga,18338,Nú,er að segja,frá sonum Höskulds .,57467,25,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Laxdæla saga,24378,Gestur svarar : « Þarfleysa,er að segja,það en eigi nenni eg að þegja yfir því er á þínum dögum mun fram koma .,57467,33,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Laxdæla saga,28694,Nú,er að segja,frá Stíganda .,57467,38,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Laxdæla saga,51339,Nú,er að segja,hvað tíðinda er að selinu að Helgi var þar og þeir menn með honum sem fyrr var sagt .,57467,63,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Laxdæla saga,57017,Nú,er að segja,frá Bolla Bollasyni .,57467,70,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Laxdæla saga,62044,Nú,er að segja,frá ferð þeirra Þorkels .,57467,76,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Ljósvetninga saga (A-gerð),179,Það,er að segja,að Ófeigur átti för inn í hérað og hitti Ölvir hann og bað að hann kæmi þar er hann færi heim aftur og sagði honum ósæmd þeirra Víðarssona .,7490,1,Ljósvetninga saga - A-gerð,293,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,548,Íslendingasögur II,1986,
Ljósvetninga saga (A-gerð),250,Nú,er að segja,frá þeim Víðarssonum að þeir fara heiman til Ölvis .,7490,1,Ljósvetninga saga - A-gerð,293,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,548,Íslendingasögur II,1986,
Ljósvetninga saga (A-gerð),4837,Nú,er að segja,frá Þóri að hann fór utan um sumarið er á leið og var hann á Hjaltlandi þann vetur .,7490,1,Ljósvetninga saga - A-gerð,293,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,548,Íslendingasögur II,1986,
Ljósvetninga saga (C-gerð),181,Það,er að segja,að Ófeigur átti för inn í hérað og hitti Ölvir hann og bað að hann kæmi þar er hann færi heim aftur og sagði honum ósæmd þeirra Víðarssona .,27557,1,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Ljósvetninga saga (C-gerð),252,Nú,er að segja,frá þeim Víðarssonum að þeir fara heiman til Ölvis .,27557,1,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Ljósvetninga saga (C-gerð),24710,Nú,er að segja,frá Halli Ótryggssyni .,27557,24,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Ljósvetninga saga (C-gerð),29941,Nú,er að segja,frá Eyjólfi Guðmundarsyni á Möðruvöllum að hann undi mjög illa við það að eigi komu mannhefndir eftir víg Koðráns bróður hans .,27557,30,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Ljósvetninga saga (C-gerð),31677,En það,er að segja,frá Háreki að hann fór að finna Skegg-Brodda og mælti : « Forvitni er mér á hversu sterkur þú ert því að mikið er af því sagt .,27557,31,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Reykdæla saga,1466,Nú,er að segja,frá ferð þeirra Háls og Vémundar að þeir fóru utan og fundu Björn frænda sinn og spurðu hverju gegndi um ferðir hans .,23678,3,Reykdæla saga,347,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1199,Íslendingasögur II,1986,
Reykdæla saga,2439,Það,er að segja,að Þorleifur melrakki varð var við að Hánefur hvarf margoft úr hvílu sinni um nætur og þar kom að hann forvitnaðist hverju gegna mundi .,23678,4,Reykdæla saga,347,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1199,Íslendingasögur II,1986,
Reykdæla saga,13550,Frá því,er að segja,að sá maður hafði verið í ferðinni með Steingrími er Þórir er nefndur .,23678,16,Reykdæla saga,347,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1199,Íslendingasögur II,1986,
Sturlunga,4419,Í annan stað,er að segja,"frá því að sá maður kom til fundar við Má er Hrafn hét og var kenndur við móður sína og kallaður Finngerðarson , mikill og sterkur og ódæll og hinn mesti illhreysingur .",260587,13,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,5631,Nú,er að segja,frá því að þeir kaupmennirnir bjuggust á Eyrum og Ólafur Hildisson var þar á laun með Árna fjöruskeif .,260587,16,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,13053,Nú,er að segja,"frá ferðum þeirra feðga Arons og Bárðar að þeir koma ofan á Kluftir og sjá niður undir Ármannsfelli fjölda mikinn hrossa og manna og er nokkuð svo að þeir hugsa fyrir sér ráðið og þykir eigi ólíklegt að þeir Hafliði muni þar sitja fyrir og gæta svo hvorrartveggju leiðarinnar , er önnur liggur fram undir Ármannsfell og að Sleðaási en önnur leið liggur austur yfir hraunið undir Hrafnabjörg og undir Reyðarmúla til Gjábakka og svo austan um hraun til búða .",260587,31,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,13748,Nú,er að segja,"frá þeim Bárði og Aroni að þeir ríða fram að flokkinum og menn standa upp í móti og fagna þeim vel , af því að þar var vina fundur .",260587,33,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,52655,Eigi veit eg viðurmæli þeirra en frá erindislokum,er að segja,.,260587,105,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,59554,Nú,er að segja,frá þeim Þorgrími öðrum megin fjarðarins .,260587,114,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,61262,Nú,er að segja,frá Guðmundi hinum dýra .,260587,115,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,132270,Nú,er að segja,frá Sighvati að Eiríkur greifi njósnarmaður Styrmis kom á Grund og annar maður með honum síð um kveld .,260587,248,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,154619,Jafnframt þessu,er að segja,frá Sturlu .,260587,288,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,178434,Nú,er að segja,frá þeim Svarthöfða og Þórði Bjarnarsyni er þeir lágu í fönninni þar til er flokkur Kolbeins var um fram riðinn .,260587,318,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,191267,Nú,er að segja,frá Kolbeini .,260587,337,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,197749,Það,er að segja,frá þeim vestur í sveitunum að í þenna tíma bað Hrafn Oddsson Þuríðar Sturludóttur .,260587,347,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,199025,Það,er að segja,"frá þeim Þórði að þeir lágu úti um nóttina , er þeir voru á Silfrastöðum , niðri á vellinum .",260587,350,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,205732,Nú,er að segja,frá Ögmundi að hann er í Holti um veturinn með Þórði Sighvatssyni .,260587,364,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,207291,Nú,er að segja,frá Sæmundi og þeim frændum að þeir rísa upp um morguninn á Hörgslandi og báðu taka hesta sína .,260587,368,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,208829,Nú,er að segja,frá Jóni karli .,260587,370,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,210350,Það,er að segja,frá Þorgilsi skarða að hann reið norður til Skagafjarðar þegar er þeir Hrafn og Sturla riðu suður á heiði .,260587,375,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,235091,Nú,er að segja,frá Eyjólfi Þorsteinssyni að hann safnar mönnum að sér .,260587,410,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,238179,Nú,er að segja,frá Gissuri Þorvaldssyni að hann kom að skyrbúri og hann Guðmundur frændi hans fylgdi honum .,260587,413,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,239081,Það,er að segja,frá brennumönnum að þeir ríða á Hofstaði til matar .,260587,414,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,245115,Nú,er að segja,frá þeim Eyjólfi Þorsteinssyni og Hrafni Oddssyni .,260587,426,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,245218,Nú,er að segja,frá þeim Eyjólfi Þorsteinssyni og Hrafni Oddssyni .,260587,427,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,249695,Nú,er að segja,frá Eyjólfi .,260587,434,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,261575,En nú,er að segja,"frá þeim mönnum er eftir voru á Þverárfundi að þeir leituðu undan , sumir í kirkjur en sumir í bænahús .",260587,451,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,270147,Nú,er að segja,frá ferðum Þorkels að þá er hann kom á Miklabæ var Þorgils riðinn norður til Öxarfjarðar .,260587,467,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,273435,"Tók Þorvarður þá til orða : « Hér kemur að því sem mælt er , að hvert ker kann verða svo fullt að yfir gangi og það",er að segja,að eg þoli eigi lengur að Þorgils sitji yfir sæmdum mínum svo að eg leiti einkis í .,260587,474,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,281447,Nú,er að segja,frá Hallvarði gullskó .,260587,491,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Svarfdæla saga,6588,Nú,er að segja,"hverjir til liðs snerust með Þorsteini : Ólafur úr Ólafsfirði , Héðinn úr Héðinsfirði , þeir voru bræður og Svarthöfði ...",19193,11,Svarfdæla saga,631,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1257,Íslendingasögur II,1986,
Þórðar saga hreðu,2844,En nú,er að segja,frá því að Þorkell kemur til Reykja og sagði sínar eigi sléttar .,15547,2,Þórðar saga hreðu,472,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1202,Íslendingasögur II,1986,
Þórðar saga hreðu,7789,Það,er að segja,að þenna morgun hafði Eiður farið til stóðhrossa sinna í Línakradal .,15547,5,Þórðar saga hreðu,472,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1202,Íslendingasögur II,1986,
Þórðar saga hreðu,10736,Nú,er að segja,frá Össuri að Þverá að hann heldur njósnum til um ferð Þórðar þá hann fer frá jólaveislunni .,15547,8,Þórðar saga hreðu,472,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1202,Íslendingasögur II,1986,
Þórðar saga hreðu,15629,Nú,er að segja,frá Þórði hreðu .,15547,12,Þórðar saga hreðu,472,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1202,Íslendingasögur II,1986,
Valla-Ljóts saga,5371,Nú,er að segja,frá Böðvari að hann býst um morguninn og hans förunautar .,6921,7,Valla-Ljóts saga,280,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,494,Íslendingasögur II,1986,
Víga-Glúms saga,3712,Nú,er að segja,frá utanferð Glúms .,19117,6,Víga-Glúms saga,595,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1222,Íslendingasögur II,1986,
Víga-Glúms saga,8504,En frá Arnóri,er að segja,að hann finnur Glúm og segir honum frá förum sínum .,19117,11,Víga-Glúms saga,595,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1222,Íslendingasögur II,1986,
Vopnfirðinga saga,2387,Það,er að segja,um för Helga að hann kom að gisting til Ketils og tók hann vel við honum .,9571,5,Vopnfirðinga saga,274,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,627,Íslendingasögur II,1986,
Vopnfirðinga saga,6954,Frá því,er að segja,þessu næst að Bjarni var að boði í Krossavík og sátu menn við elda .,9571,14,Vopnfirðinga saga,274,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,627,Íslendingasögur II,1986,
Fljótdæla saga,20231,"« Því bauð eg og kjörs á , » sagði Helgi , « að mér þykir vel að þú ráðir en vant",er að sjá,hverjum þess verður auðið .,27278,18,Fljótsdæla saga,527,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2010,Íslendingasögur I,1985,
Fóstbræðra saga,33148,Þormóður þakkaði honum gjöfina og mælti : « Góðan eigum vér konunginn en vant,er að sjá,hversu langlífur verður .,31546,1,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Gísla saga Súrssonar (styttri gerð),17649,"« Einn mun á ger , » segir Helgi , « að hlaða hér vörðu á hóli þessum er nú stöndum við á og mun þá finnast er ljós dagur er og sér héðan frá vörðunni til kleifanna er skammt",er að sjá,. »,18981,31,Gísla saga Súrssonar - styttri gerð,483,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1169,Íslendingasögur I,1985,
Kjalnesinga saga,1868,En vant,er að sjá,þótt fund okkarn Þorsteins beri saman hverjir frá kunna að segja þótt eg eigi við liðsmun nokkurn .,11003,3,Kjalnesinga saga,290,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,928,Íslendingasögur II,1986,
Brennu-Njáls saga,63375,Mun hér sannast það sem mælt,er að skamma,stund verður hönd höggvi fegin .,98938,99,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,86436,Hallur svaraði : « Nú er svo orðið sem mælt,er að skamma,stund verður hönd höggvi fegin .,98938,134,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Egils saga Skalla-Grímssonar,46654,Trauður mun eg til vera að gera þér skaða ef því,er að skipta,ef þú vilt heldur leggja fram líf þitt en hann sé drepinn .,62240,61,Egils saga Skalla-Grímssonar,1103,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4066,Íslendingasögur I,1985,
Sturlunga,254369,Er það þó mjög lítið móti slíku ofurefli sem við,er að skipta,.,260587,442,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Íslendinga þættir,88228,Þorleifur svarar : « Það munuð þér heyrt hafa herra að sá er skyldur að leysa annars vandræði,er að spyr,. »,110609,4,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Fóstbræðra saga,4367,Hún mælti : « Að því kemur nú sem mælt,er að spyrja,er best til válegra þegna .,31546,4,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Heimskringla,236916,En nú er svo komið að eg mun eigi letja að leggja til orustu því að eg sé það er allir mega vita hversu mikil nauðsyn á,er að stökkva,"óaldarflokki þessum er farið hefir um land allt með rán og rifs og mættu menn eftir það byggja land í friði og þjóna einum konungi , þeim er svo er góður og réttlátur sem Ingi konungur er , og hefir þó lengi haft volk og vandræði af ofsa og ójafnaði frænda sinna og borið brjóst fyrir allri alþýðu og lagt sig í margfaldan háska til að friða landið . »",231502,9,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Íslendinga þættir,79699,Það,er að sýna,"manndóm og miskunn við mennina svo að hver hjálpi sínum frændum sem hver hefir mest föng á , einkanlega föður og móður og þar út í frá , þeir sem betur mega fyrir sulti og lífsháska , sína aðra náfrændur .",110609,2,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Brennu-Njáls saga,15257,Höskuldur mælti : « Nú,er að taka,við fénu . »,98938,24,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,22342,Nú,er að taka,til heima að Atli spurði Bergþóru hvað hann skyldi vinna um daginn .,98938,37,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Fóstbræðra saga,26625,« Mikill atburður er sjá orðinn og mikil vandkvæði hefir þessi maður ráðið sér og mikið,er að takast,á hendur skógarmann frænda Þorgríms og allra helst er hann hefir nú unnið svo mikið stórvirki í sekt sinni . »,31546,23,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Ölkofra saga,1168,Seint,er að telja,öll orð Ölkofra þau er hann mælti og lét hann sem aumlegast á allan hátt .,2915,2,Ölkofra saga,79,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,169,Íslendingasögur II,1986,
Heimskringla,188733,Ásmundur er maður nefndur er sagt,er að væri,systurson Sveins konungs og fósturson hans .,231502,49,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Sturlunga,18578,Skeggi svarar : « Svo,er að varast,óráð að þau lúkast oft eigi vel . »,260587,47,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Grettis saga Ásmundarsonar,26362,Muntu hafa heyrt getið um hvað hér,er að véla,en eg vildi gjarna að þú komist heill á brott .,61205,35,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Fljótdæla saga,22648,Og er hann,er að velta,hinni þriðju flögunni þá hafa þeir uppi vindaugað og var þá ljóst í hlöðunni .,27278,19,Fljótsdæla saga,527,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2010,Íslendingasögur I,1985,1
Gísla saga Súrssonar (styttri gerð),15862,Börkur fer nú heim og segir Eyjólfi hvað um,er að vera,.,18981,27,Gísla saga Súrssonar - styttri gerð,483,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1169,Íslendingasögur I,1985,
Heimskringla,178578,"En allt fé það er hann fékk og eigi þurfti hann að hafa til kostnaðar sér sendi hann með trúnaðarmönnum sínum norður í Hólmgarð í vald og gæslu Jarisleifs konungs og dróst þar saman ógrynni fjár , sem líklegt",er að vera,"mundi er hann herjaði þann hluta heimsins er auðgastur var að gulli og dýrgripum , og svo mikið sem hann gerði að er með sönnu var áður sagt að hann mundi eignast hafa átta tigu borga .",231502,5,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
